Opponent,Match,Innings,Runs,Balls,Outs,SR,50,100,4s,6s,Dot %,Score,Next_Score,Stadium,Year,Is_Home_Match
Gujarat Lions,ipl2016_57,2,0,2,1,0,0,0,0,0,100,0,78.43,M.Chinnaswamy Stadium,2016,1
Sunrisers Hyderabad,ipl2016_60,2,54,35,1,154.3,1,0,5,2,31.4,78.43,84.19,M.Chinnaswamy Stadium,2016,1
Mumbai Indians,ipl2017_12,1,62,47,1,131.9,1,0,5,2,29.8,84.19,47.74,M.Chinnaswamy Stadium,2017,1
Rising Pune Supergiant,ipl2017_17,2,28,19,1,147.4,0,0,3,1,42.1,47.74,85.8,M.Chinnaswamy Stadium,2017,1
Gujarat Lions,ipl2017_20,1,64,50,1,128,1,0,7,1,32,85.8,0,"Niranjan Shah Stadium, Rajkot",2017,0
Kolkata Knight Riders,ipl2017_27,2,0,1,1,0,0,0,0,0,100,0,19.69,Eden Gardens,2017,0
Gujarat Lions,ipl2017_31,1,10,13,1,76.9,0,0,0,1,69.2,19.69,72.46,M.Chinnaswamy Stadium,2017,1
Rising Pune Supergiant,ipl2017_34,2,55,48,1,114.6,1,0,4,1,31.2,72.46,38.29,"Maharashtra Cricket Association Stadium, Pune",2017,0
Mumbai Indians,ipl2017_38,1,20,14,1,142.9,0,0,0,2,35.7,38.29,17,Wankhede Stadium,2017,0
Kings 11 Punjab,ipl2017_43,2,6,6,1,100,0,0,1,0,66.7,17,10.56,M.Chinnaswamy Stadium,2017,1
Kolkata Knight Riders,ipl2017_46,1,5,9,1,55.6,0,0,0,0,55.6,10.56,79.89,M.Chinnaswamy Stadium,2017,1
Delhi Capitals,ipl2017_56,1,58,45,1,128.9,1,0,3,3,28.9,79.89,43.39,Arun Jaitley Stadium,2017,0
Kolkata Knight Riders,ipl2018_03,1,31,33,1,93.9,0,0,1,1,39.4,43.39,38.12,Eden Gardens,2018,0
Kings 11 Punjab,ipl2018_08,2,21,16,1,131.2,0,0,4,0,43.8,38.12,87,M.Chinnaswamy Stadium,2018,1
Rajasthan Royals,ipl2018_11,2,57,30,1,190,1,0,7,2,20,87,121.84,M.Chinnaswamy Stadium,2018,1
Mumbai Indians,ipl2018_14,2,92,62,0,148.4,1,0,7,4,24.2,121.84,45.54,Wankhede Stadium,2018,0
Delhi Capitals,ipl2018_19,2,30,26,1,115.4,0,0,2,1,30.8,45.54,33,M.Chinnaswamy Stadium,2018,1
Chennai Super Kings,ipl2018_24,1,18,15,1,120,0,0,3,0,46.7,33,94.45,"Maharashtra Cricket Association Stadium, Pune",2018,0
Kolkata Knight Riders,ipl2018_29,1,68,44,0,154.5,1,0,5,3,27.3,94.45,48.31,M.Chinnaswamy Stadium,2018,1
Mumbai Indians,ipl2018_31,1,32,26,1,123.1,0,0,2,1,30.8,48.31,16.27,M.Chinnaswamy Stadium,2018,1
Chennai Super Kings,ipl2018_35,1,8,11,1,72.7,0,0,1,0,54.5,16.27,59,M.Chinnaswamy Stadium,2018,1
Sunrisers Hyderabad,ipl2018_39,2,39,30,1,130,0,0,5,1,40,59,100.5,Rajiv Gandhi International Stadium,2018,0
Delhi Capitals,ipl2018_45,2,70,40,1,175,1,0,7,3,22.5,100.5,75.14,Arun Jaitley Stadium,2018,0
Kings 11 Punjab,ipl2018_48,2,48,28,0,171.4,0,0,6,2,28.6,75.14,24.91,"Holkar Cricket Stadium, Indore",2018,0
Sunrisers Hyderabad,ipl2018_51,1,12,11,1,109.1,0,0,2,0,45.5,24.91,8.44,M.Chinnaswamy Stadium,2018,1
Rajasthan Royals,ipl2018_53,2,4,9,1,44.4,0,0,0,0,55.6,8.44,11,Sawai Mansingh Stadium,2018,0
Chennai Super Kings,ipl2019_01,1,6,12,1,50,0,0,0,0,58.3,11,66.38,MA Chidambaram Stadium,2019,0
Mumbai Indians,ipl2019_07,2,46,32,1,143.8,0,0,6,0,18.8,66.38,6,M.Chinnaswamy Stadium,2019,1
Sunrisers Hyderabad,ipl2019_11,2,3,10,1,30,0,0,0,0,70,6,35.2,Rajiv Gandhi International Stadium,2019,0
Rajasthan Royals,ipl2019_14,1,23,25,1,92,0,0,3,0,52,35.2,114.14,Sawai Mansingh Stadium,2019,0
Kolkata Knight Riders,ipl2019_17,1,84,49,1,171.4,1,0,9,2,16.3,114.14,58.42,M.Chinnaswamy Stadium,2019,1
Delhi Capitals,ipl2019_20,1,41,33,1,124.2,0,0,1,2,15.2,58.42,87.64,M.Chinnaswamy Stadium,2019,1
Kings 11 Punjab,ipl2019_28,2,67,53,1,126.4,1,0,8,0,28.3,87.64,17.89,Punjab Cricket Association IS Bindra Stadium,2019,0
Mumbai Indians,ipl2019_31,1,8,9,1,88.9,0,0,1,0,44.4,17.89,134.24,Wankhede Stadium,2019,0
Kolkata Knight Riders,ipl2019_35,1,100,58,1,172.4,0,1,9,4,20.7,134.24,22.25,Eden Gardens,2019,0
Chennai Super Kings,ipl2019_39,1,9,8,1,112.5,0,0,2,0,62.5,22.25,31.25,M.Chinnaswamy Stadium,2019,1
Kings 11 Punjab,ipl2019_42,2,13,8,1,162.5,0,0,2,0,25,31.25,40.53,M.Chinnaswamy Stadium,2019,1
Delhi Capitals,ipl2019_46,2,23,17,1,135.3,0,0,2,1,35.3,40.53,67.71,Arun Jaitley Stadium,2019,0
Rajasthan Royals,ipl2019_49,1,25,7,1,357.1,0,0,1,3,14.3,67.71,42.86,M.Chinnaswamy Stadium,2019,1
Sunrisers Hyderabad,ipl2019_54,2,16,7,1,228.6,0,0,2,1,28.6,42.86,24.77,M.Chinnaswamy Stadium,2019,1
Sunrisers Hyderabad,ipl2020_03,1,14,13,1,107.7,0,0,0,0,15.4,24.77,3,"Dubai International Cricket Stadium, Dubai",2020,0
Kings 11 Punjab,ipl2020_06,2,1,5,1,20,0,0,0,0,80,3,5.73,"Dubai International Cricket Stadium, Dubai",2020,0
Mumbai Indians,ipl2020_10,1,3,11,1,27.3,0,0,0,0,72.7,5.73,96.58,"Dubai International Cricket Stadium, Dubai",2020,0
Rajasthan Royals,ipl2020_15,2,72,53,0,135.8,1,0,7,2,35.8,96.58,58.03,"Sheikh Zayed Stadium, Abu Dhabi",2020,0
Delhi Capitals,ipl2020_19,2,43,39,1,110.3,0,0,2,1,30.8,58.03,119.31,"Dubai International Cricket Stadium, Dubai",2020,0
Chennai Super Kings,ipl2020_25,1,90,52,0,173.1,1,0,4,4,9.6,119.31,45.79,"Sheikh Zayed Stadium, Abu Dhabi",2020,0
Kolkata Knight Riders,ipl2020_28,1,33,28,0,117.9,0,0,1,0,17.9,45.79,63.31,"Sharjah Cricket Stadium, Sharjah",2020,0
Kings 11 Punjab,ipl2020_31,1,48,39,1,123.1,0,0,3,0,12.8,63.31,61.44,"Sharjah Cricket Stadium, Sharjah",2020,0
